,,,,27,16,11.4
0.27,0.44,0.52,0.61,,,
68.4,13.9,1.5,0.2,,,
75.8,20.3,3.3,0.5,,,
,,,,,,
,,,,29.9,0.4,7.2
0.11,0.27,0.42,0.64,,,
17.8,61.4,19.6,0.8,,,
38.8,43.2,15.8,2.1,,,
,,,,,,
,,,,30,0,1.9
0.02,0.11,0.27,0.44,,,
0.3,20.1,62.7,16.9,,,
15.9,34.7,36.2,13.2,,,
,,,,,,
,,,,30,0,0
0.05,0.09,0.13,0.27,,,
0.3,4.1,27.2,68.4,,,
16.1,21.1,29.7,33.2,,,
,,,,,,
,,,,23,41.1,-
0.35,0.45,0.55,0.65,,,
51.4,7.2,0.3,0,,,
82.2,15.1,2.5,0.1,,,
,,,,,,
,,,,15.8,76.4,-
0.45,0.55,0.65,0.75,,,
22.9,0.7,0,0,,,
91.4,8,0.6,0,,,
,,,,,,
